provider,url,files_found,missing_files,complete,error
Société Régionale Wallonne du Transport,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-unknown-societe-regionale-wallonne-du-transport-gtfs-1212.zip?alt=media,"['trips.txt', 'stop_times.txt', 'calendar_dates.txt', 'calendar.txt', 'stops.txt', 'routes.txt']",['transfers.txt'],False,
METROFOR,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-ceara-metrofor-gtfs-2367.zip?alt=media,"['trips.txt', 'calendar_dates.txt', 'routes.txt', 'calendar.txt', 'stops.txt', 'stop_times.txt']",['transfers.txt'],False,
Empresa de Transportes e Transito de Belo Horizonte (BHTRANS),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-minas-gerais-empresa-de-transportes-e-transito-de-belo-horizonte-bhtrans-gtfs-687.zip?alt=media,"['trips.txt', 'stop_times.txt', 'calendar_dates.txt', 'calendar.txt', 'stops.txt', 'routes.txt']",['transfers.txt'],False,
Etufor,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-ceara-etufor-gtfs-2011.zip?alt=media,"['trips.txt', 'stop_times.txt', 'calendar_dates.txt', 'calendar.txt', 'stops.txt', 'routes.txt']",['transfers.txt'],False,
"Wiener Lokalbahnen (WLB), Wiener Linien",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/at-wien-wiener-lokalbahnen-wlb-gtfs-648.zip?alt=media,"['trips.txt', 'stop_times.txt', 'calendar_dates.txt', 'calendar.txt', 'stops.txt', 'routes.txt']",['transfers.txt'],False,
Empresa Publica de Transportes e Circulação (EPTC),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-rio-grande-do-sul-empresa-publica-de-transportes-e-circulacao-eptc-gtfs-7.zip?alt=media,"['trips.txt', 'stop_times.txt', 'calendar_dates.txt', 'calendar.txt', 'stops.txt', 'routes.txt']",['transfers.txt'],False,
Prefeitura de Bage,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-rio-grande-do-sul-prefeitura-de-bage-gtfs-930.zip?alt=media,"['trips.txt', 'transfers.txt', 'stop_times.txt', 'calendar_dates.txt', 'calendar.txt', 'stops.txt', 'routes.txt']",[],True,
São Paulo Transporte (SPTrans),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-sao-paulo-sao-paulo-transporte-sptrans-gtfs-8.zip?alt=media,"['trips.txt', 'stop_times.txt', 'calendar.txt', 'stops.txt', 'routes.txt']","['calendar_dates.txt', 'transfers.txt']",False,
Empresa de Transportes e Transito de Belo Horizonte (BHTRANS),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-minas-gerais-empresa-de-transportes-e-transito-de-belo-horizonte-bhtrans-gtfs-9.zip?alt=media,"['trips.txt', 'stop_times.txt', 'calendar_dates.txt', 'calendar.txt', 'stops.txt', 'routes.txt']",['transfers.txt'],False,
Public Transport Victoria (PTV),https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-victoria-public-transport-victoria-ptv-gtfs-657.zip?alt=media,[],"['calendar_dates.txt', 'trips.txt', 'stops.txt', 'transfers.txt', 'calendar.txt', 'routes.txt', 'stop_times.txt']",False,"HTTPSConnectionPool(host='storage.googleapis.com', port=443): Read timed out."
Colectivos Buenos Aires,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ar-buenos-aires-colectivos-buenos-aires-gtfs-1220.zip?alt=media,[],"['calendar_dates.txt', 'trips.txt', 'stops.txt', 'transfers.txt', 'calendar.txt', 'routes.txt', 'stop_times.txt']",False,"HTTPSConnectionPool(host='storage.googleapis.com', port=443): Read timed out."
City Transport Secretary of Rio de Janeiro,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/br-rio-de-janeiro-city-transport-secretary-of-rio-de-janeiro-gtfs-1791.zip?alt=media,[],"['calendar_dates.txt', 'trips.txt', 'stops.txt', 'transfers.txt', 'calendar.txt', 'routes.txt', 'stop_times.txt']",False,"HTTPSConnectionPool(host='storage.googleapis.com', port=443): Read timed out."
TEC,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-wallonne-tec-gtfs-1868.zip?alt=media,[],"['calendar_dates.txt', 'trips.txt', 'stops.txt', 'transfers.txt', 'calendar.txt', 'routes.txt', 'stop_times.txt']",False,"HTTPSConnectionPool(host='storage.googleapis.com', port=443): Read timed out."
Edmonton Transit System,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/ca-alberta-edmonton-transit-system-gtfs-714.zip?alt=media,[],"['calendar_dates.txt', 'trips.txt', 'stops.txt', 'transfers.txt', 'calendar.txt', 'routes.txt', 'stop_times.txt']",False,"HTTPSConnectionPool(host='storage.googleapis.com', port=443): Read timed out."
De Lijn,https://storage.googleapis.com/storage/v1/b/mdb-latest/o/be-flamande-de-lijn-gtfs-1869.zip?alt=media,[],"['calendar_dates.txt', 'trips.txt', 'stops.txt', 'transfers.txt', 'calendar.txt', 'routes.txt', 'stop_times.txt']",False,"HTTPSConnectionPool(host='storage.googleapis.com', port=443): Read timed out."
"train replacement bus operators, Sydney Trains, NSW Trains, Busways Western Sydney, Interline Bus Services, Transit Systems, Hillsbus, Punchbowl Bus Company, State Transit, Transdev NSW, Dions Bus Service, Forest Coach Lines, Cronulla Ferries, Brooklyn Ferry Service, Central Coast Ferries, Manly Fast Ferry, Church Point Ferry Service, Captain Cook Cruises, Palm Beach Ferry Service, Busabout, Rover Coaches, Hunter Valley Buses, Port Stephens Coaches, Northern Rivers Buslines, Tamworth Buslines, Surfside Buslines, Premier Motor Service, Quinns Coaches, Dunoon Bus Service, Waller's Bus Company, Murwillumbah Bus Company, Parsons Bus Service, Gosel's Bus Service, Bhangla Singh's Bus Service, Blanch's Bus Company, Ballina Buslines, Watson's Bus Service, Casino Bus Service, Forest Coach Lines, Lawrence Bus Service, Forest Coach Lines, Michael Jillett, Reynolds & Fogarty, Forest Coach Lines, Inverell Bus Service, Symes Coaches, Edwards Coaches, Hannafords Bus Service, Hopes Bus Service, Millerds Bus Service, Cavanaghs Bus Company, Busways Port Macquarie, Tinonee Bus Company, Eggins Comfort Coaches, Busways Great Lakes, Forster Buslines, Osborn Bus Service, Ogden's Coaches, Wingham Buslines, Brunswick Valley Coaches, Clarence River Ferries, Busways Central Coast, Red Bus Service, Blue Mountains Transit, Premier Charters, Premier Illawarra, Hunter Valley Buses, Busways Coffs Harbour, Busways Grafton, Newcastle Transport, Port Stephens Coaches, NSW TrainLink Train, Intercity Train, NSW TrainLink Coach, Sydney Light Rail, Berrima Buslines, Bathurst Buslines, Lithgow Buslines, Kennedys Bus Service, Kiama Coachlines, Nowra Coaches, Shoal Bus, Stuarts Coaches, Dubbo Buslines, Orange Buslines, Newman's Bus Service, Western Road Liners, Forbes Buslines, Buslink Broken Hill, Cowra Bus Service, Griffith Buslines, PBC Goulburn, PBC Crookwell, Picton Buslines, Premier Motor Service, Buslink Sunraysia, Busabout Wagga, Junee Buses, Allen's Coaches, Qcity Transit, Transborder Express, Murrays Coaches, Purtills, Newtons Bus Service, Ulladulla Buslines, Priors Bus Service, Symons Bus & Coach Service, Cooma Coaches, Martins Albury, Dysons, Cann's Buslines, Sapphire Coast Buslines, Bega Valley Coaches, Sapphire Coast Buslines, Sydney Ferries, Station Link, Forest Coach Lines, Hillsbus, Punchbowl Bus Company, Transdev NSW",https://storage.googleapis.com/storage/v1/b/mdb-latest/o/au-new-south-wales-train-replacement-bus-operators-gtfs-1322.zip?alt=media,[],"['calendar_dates.txt', 'trips.txt', 'stops.txt', 'transfers.txt', 'calendar.txt', 'routes.txt', 'stop_times.txt']",False,"HTTPSConnectionPool(host='storage.googleapis.com', port=443): Read timed out."
